epochMs,queueSize,queueCapacity,droppedOverflow,exportFailures,exportTimeouts
1781146403896,220,2048,0,121,0
1781146408905,245,2048,0,122,0
1781146413907,250,2048,0,123,0
1781146418921,211,2048,0,124,0
1781146423931,198,2048,0,125,0
1781146428947,226,2048,0,126,0
1781146433952,183,2048,0,127,0
1781146438957,213,2048,0,128,0
1781146443967,224,2048,0,129,0
1781146448979,232,2048,0,130,0
1781146453996,193,2048,0,131,0
1781146459005,208,2048,0,132,0
1781146464009,238,2048,0,133,0
1781146469015,197,2048,0,134,0
1781146474018,206,2048,0,135,0
1781146479022,224,2048,0,136,0
1781146484026,249,2048,0,137,0
1781146489030,237,2048,0,138,0
1781146494034,243,2048,0,139,0
1781146499051,290,2048,0,140,0
1781146504061,227,2048,0,141,0
1781146509073,218,2048,0,142,0
1781146514083,227,2048,0,143,0
1781146519099,220,2048,0,144,0
1781146524100,229,2048,0,145,0
1781146529111,229,2048,0,146,0
1781146534125,229,2048,0,147,0
1781146539142,198,2048,0,148,0
1781146544152,258,2048,0,149,0
1781146549154,227,2048,0,150,0
1781146554167,202,2048,0,151,0
1781146559181,220,2048,0,152,0
1781146564192,249,2048,0,153,0
1781146569200,240,2048,0,154,0
1781146574210,259,2048,0,155,0
1781146579216,269,2048,0,156,0
1781146584226,209,2048,0,157,0
1781146589240,227,2048,0,158,0
1781146594245,232,2048,0,159,0
1781146599255,288,2048,0,160,0
1781146604256,286,2048,0,161,0
1781146609268,263,2048,0,162,0
1781146614276,229,2048,0,163,0
1781146619281,255,2048,0,164,0
1781146624286,245,2048,0,165,0
1781146629297,189,2048,0,166,0
1781146634301,250,2048,0,167,0
1781146639313,239,2048,0,168,0
1781146644330,254,2048,0,169,0
1781146649337,254,2048,0,170,0
1781146654344,250,2048,0,171,0
1781146659358,252,2048,0,172,0
1781146664373,212,2048,0,173,0
1781146669378,255,2048,0,174,0
1781146674386,181,2048,0,175,0
1781146679395,226,2048,0,176,0
1781146684404,214,2048,0,177,0
1781146689410,220,2048,0,178,0
1781146694413,240,2048,0,179,0
1781146699421,258,2048,0,180,0
1781146704429,247,2048,0,181,0
1781146709444,282,2048,0,182,0
1781146714456,245,2048,0,183,0
1781146719459,250,2048,0,184,0
1781146724464,246,2048,0,185,0
1781146729474,273,2048,0,186,0
1781146734489,244,2048,0,187,0
1781146739502,252,2048,0,188,0
1781146744515,273,2048,0,189,0
1781146749529,241,2048,0,190,0
1781146754543,288,2048,0,191,0
1781146759549,249,2048,0,192,0
1781146764554,301,2048,0,193,0
1781146769559,231,2048,0,194,0
1781146774567,243,2048,0,195,0
1781146779587,282,2048,0,196,0
1781146784593,264,2048,0,197,0
1781146789607,273,2048,0,198,0
1781146794607,251,2048,0,199,0
1781146799617,266,2048,0,200,0
1781146804631,262,2048,0,201,0
1781146809641,274,2048,0,202,0
1781146814661,282,2048,0,203,0
1781146819672,284,2048,0,204,0
1781146824675,275,2048,0,205,0
1781146829676,269,2048,0,206,0
1781146834687,213,2048,0,207,0
1781146839690,278,2048,0,208,0
1781146844695,232,2048,0,209,0
1781146849709,268,2048,0,210,0
1781146854725,242,2048,0,211,0
1781146859730,249,2048,0,212,0
1781146864745,297,2048,0,213,0
1781146869757,269,2048,0,214,0
1781146874760,244,2048,0,215,0
1781146879771,243,2048,0,216,0
1781146884786,221,2048,0,217,0
1781146889791,301,2048,0,218,0
1781146894802,254,2048,0,219,0
1781146899812,271,2048,0,220,0
1781146904813,264,2048,0,221,0
1781146909824,274,2048,0,222,0
1781146914842,252,2048,0,223,0
1781146919846,288,2048,0,224,0
1781146924854,249,2048,0,225,0
1781146929865,295,2048,0,226,0
1781146934881,277,2048,0,227,0
1781146939889,269,2048,0,228,0
1781146944902,270,2048,0,229,0
1781146949915,260,2048,0,230,0
1781146954919,274,2048,0,231,0
1781146959924,255,2048,0,232,0
1781146964941,278,2048,0,233,0
1781146969960,247,2048,0,234,0
1781146974969,260,2048,0,235,0
1781146979986,312,2048,0,236,0
1781146984989,289,2048,0,237,0
1781146990001,230,2048,0,238,0
1781146995014,301,2048,0,239,0
1781147000022,323,2048,0,240,0
1781147005027,296,2048,0,241,0
1781147010033,258,2048,0,242,0
1781147015049,322,2048,0,243,0
1781147020063,302,2048,0,244,0
1781147025078,305,2048,0,245,0
1781147030083,271,2048,0,246,0
1781147035096,289,2048,0,247,0
1781147040112,273,2048,0,248,0
1781147045115,323,2048,0,249,0
1781147050116,297,2048,0,250,0
1781147055133,312,2048,0,251,0
1781147060149,315,2048,0,252,0
1781147065163,298,2048,0,253,0
1781147070172,311,2048,0,254,0
1781147075177,304,2048,0,255,0
1781147080187,297,2048,0,256,0
1781147085203,297,2048,0,257,0
1781147090211,304,2048,0,258,0
1781147095223,265,2048,0,259,0
1781147100241,311,2048,0,260,0
1781147105248,250,2048,0,261,0
1781147110254,273,2048,0,262,0
1781147115263,301,2048,0,263,0
1781147120278,284,2048,0,264,0
1781147125288,305,2048,0,265,0
1781147130298,270,2048,0,266,0
1781147135313,317,2048,0,267,0
1781147140318,298,2048,0,268,0
1781147145332,280,2048,0,269,0
1781147150343,311,2048,0,270,0
1781147155345,293,2048,0,271,0
1781147160348,262,2048,0,272,0
1781147165354,311,2048,0,273,0
1781147170358,339,2048,0,274,0
1781147175368,313,2048,0,275,0
1781147180380,295,2048,0,276,0
1781147185391,339,2048,0,277,0
1781147190396,320,2048,0,278,0
1781147195401,312,2048,0,279,0
1781147200413,265,2048,0,280,0
1781147205425,284,2048,0,281,0
1781147210427,323,2048,0,282,0
1781147215452,336,2048,0,283,0
1781147220462,312,2048,0,284,0
1781147225475,272,2048,0,285,0
1781147230477,313,2048,0,286,0
1781147235483,308,2048,0,287,0
1781147240499,340,2048,0,288,0
1781147245502,318,2048,0,289,0
1781147250512,282,2048,0,290,0
1781147255522,317,2048,0,291,0
1781147260539,353,2048,0,292,0
1781147265555,330,2048,0,293,0
1781147270570,315,2048,0,294,0
1781147275595,0,2048,0,296,0
1781147280610,0,2048,0,297,0
1781147285617,4,2048,0,298,0
1781147290623,2,2048,0,299,0
1781147295630,2,2048,0,300,0
1781147300646,6,2048,0,301,0
1781147305657,8,2048,0,302,0
1781147310673,2,2048,0,303,0
1781147315683,4,2048,0,304,0
1781147320693,6,2048,0,305,0
1781147325712,6,2048,0,306,0
1781147330716,14,2048,0,307,0
1781147335727,7,2048,0,308,0
1781147340738,6,2048,0,309,0
1781147345740,6,2048,0,310,0
1781147350754,10,2048,0,311,0
1781147355755,12,2048,0,312,0
1781147360771,18,2048,0,313,0
1781147365779,20,2048,0,314,0
1781147370788,10,2048,0,315,0
1781147375797,14,2048,0,316,0
1781147380810,16,2048,0,317,0
1781147385826,14,2048,0,318,0
1781147390829,21,2048,0,319,0
1781147395841,11,2048,0,320,0
1781147400851,15,2048,0,321,0
1781147405865,14,2048,0,322,0
1781147410872,23,2048,0,323,0
1781147415879,24,2048,0,324,0
1781147420885,10,2048,0,325,0
1781147425891,24,2048,0,326,0
1781147430901,24,2048,0,327,0
1781147435917,14,2048,0,328,0
1781147440926,8,2048,0,329,0
1781147445934,31,2048,0,330,0
1781147450939,20,2048,0,331,0
1781147455941,28,2048,0,332,0
1781147460950,15,2048,0,333,0
1781147465954,32,2048,0,334,0
1781147470971,19,2048,0,335,0
1781147475978,31,2048,0,336,0
1781147480981,29,2048,0,337,0
1781147485986,25,2048,0,338,0
1781147490992,26,2048,0,339,0
1781147496002,23,2048,0,340,0
1781147501016,26,2048,0,341,0
1781147506037,15,2048,0,342,0
1781147511046,26,2048,0,343,0
1781147516047,30,2048,0,344,0
1781147521051,24,2048,0,345,0
1781147526070,28,2048,0,346,0
1781147531081,35,2048,0,347,0
1781147536082,29,2048,0,348,0
1781147541098,32,2048,0,349,0
1781147546112,26,2048,0,350,0
1781147551121,33,2048,0,351,0
1781147556122,26,2048,0,352,0
1781147561125,33,2048,0,353,0
1781147566162,36,2048,0,354,0
1781147571164,43,2048,0,355,0
1781147576167,26,2048,0,356,0
1781147581173,29,2048,0,357,0
1781147586188,34,2048,0,358,0
1781147591202,43,2048,0,359,0
1781147596216,46,2048,0,360,0
1781147601219,22,2048,0,361,0
1781147606221,34,2048,0,362,0
1781147611228,29,2048,0,363,0
1781147616244,42,2048,0,364,0
1781147621257,49,2048,0,365,0
1781147626268,43,2048,0,366,0
1781147631284,39,2048,0,367,0
1781147636295,53,2048,0,368,0
1781147641304,47,2048,0,369,0
1781147646319,36,2048,0,370,0
1781147651328,48,2048,0,371,0
1781147656343,41,2048,0,372,0
1781147661355,66,2048,0,373,0
1781147666361,50,2048,0,374,0
1781147671365,58,2048,0,375,0
1781147676369,44,2048,0,376,0
1781147681377,39,2048,0,377,0
1781147686382,67,2048,0,378,0
1781147691395,34,2048,0,379,0
1781147696410,37,2048,0,380,0
1781147701411,37,2048,0,381,0
1781147706427,35,2048,0,382,0
1781147711434,57,2048,0,383,0
1781147716448,44,2048,0,384,0
1781147721454,52,2048,0,385,0
1781147726458,198,2048,0,387,0
1781147731470,92,2048,0,390,0
1781147736489,106,2048,0,393,0
1781147741502,206,2048,0,394,0
1781147746516,202,2048,0,395,0
1781147751533,182,2048,0,396,0
1781147756542,192,2048,0,397,0
1781147761557,227,2048,0,398,0
1781147766567,259,2048,0,399,0
1781147771579,256,2048,0,400,0
1781147776589,228,2048,0,401,0
1781147781594,204,2048,0,402,0
1781147786596,251,2048,0,403,0
1781147791613,192,2048,0,404,0
1781147796614,224,2048,0,405,0
1781147801625,208,2048,0,406,0
1781147806641,207,2048,0,407,0
1781147811662,241,2048,0,408,0
1781147816679,251,2048,0,409,0
1781147821684,223,2048,0,410,0
1781147826695,215,2048,0,411,0
1781147831718,206,2048,0,412,0
1781147836734,214,2048,0,413,0
1781147841738,236,2048,0,414,0
1781147846740,212,2048,0,415,0
1781147851742,266,2048,0,416,0
1781147856752,213,2048,0,417,0
1781147861768,263,2048,0,418,0
1781147866781,258,2048,0,419,0
1781147871789,237,2048,0,420,0
1781147876802,206,2048,0,421,0
1781147881803,238,2048,0,422,0
1781147886824,260,2048,0,423,0
1781147891833,253,2048,0,424,0
1781147896842,264,2048,0,425,0
1781147901857,251,2048,0,426,0
1781147906864,246,2048,0,427,0
1781147911868,257,2048,0,428,0
1781147916887,242,2048,0,429,0
1781147921895,251,2048,0,430,0
1781147926907,233,2048,0,431,0
1781147931910,260,2048,0,432,0
1781147936923,275,2048,0,433,0
1781147941936,215,2048,0,434,0
1781147946945,257,2048,0,435,0
1781147951948,242,2048,0,436,0
1781147956950,262,2048,0,437,0
1781147961959,257,2048,0,438,0
1781147966964,262,2048,0,439,0
1781147971967,247,2048,0,440,0
1781147976973,278,2048,0,441,0
1781147981985,268,2048,0,442,0
1781147987001,248,2048,0,443,0
1781147992004,249,2048,0,444,0
1781147997022,231,2048,0,445,0
1781148002032,256,2048,0,446,0
1781148007056,225,2048,0,447,0
1781148012063,266,2048,0,448,0
1781148017078,275,2048,0,449,0
1781148022091,216,2048,0,450,0
1781148027103,257,2048,0,451,0
1781148032109,262,2048,0,452,0
1781148037115,284,2048,0,453,0
1781148042118,253,2048,0,454,0
1781148047130,277,2048,0,455,0
1781148052143,275,2048,0,456,0
1781148057145,239,2048,0,457,0
1781148062160,281,2048,0,458,0
1781148067169,272,2048,0,459,0
1781148072178,266,2048,0,460,0
1781148077187,261,2048,0,461,0
1781148082194,253,2048,0,462,0
1781148087201,272,2048,0,463,0
1781148092208,224,2048,0,464,0
1781148097211,242,2048,0,465,0
1781148102223,302,2048,0,466,0
1781148107225,286,2048,0,467,0
1781148112229,284,2048,0,468,0
1781148117239,281,2048,0,469,0
1781148122254,240,2048,0,470,0
1781148127255,282,2048,0,471,0
1781148132270,264,2048,0,472,0
1781148137279,271,2048,0,473,0
1781148142293,264,2048,0,474,0
1781148147303,255,2048,0,475,0
1781148152318,240,2048,0,476,0
1781148157331,331,2048,0,477,0
1781148162343,259,2048,0,478,0
1781148167354,281,2048,0,479,0
1781148172359,300,2048,0,480,0
1781148177364,270,2048,0,481,0
1781148182365,290,2048,0,482,0
1781148187371,296,2048,0,483,0
1781148192388,251,2048,0,484,0
1781148197393,248,2048,0,485,0
1781148202399,272,2048,0,486,0
1781148207411,250,2048,0,487,0
1781148212413,226,2048,0,488,0
1781148217424,263,2048,0,489,0
1781148222427,279,2048,0,490,0
1781148227445,256,2048,0,491,0
1781148232452,314,2048,0,492,0
1781148237468,269,2048,0,493,0
1781148242483,255,2048,0,494,0
1781148247497,289,2048,0,495,0
1781148252506,317,2048,0,496,0
1781148257536,293,2048,0,497,0
1781148262543,305,2048,0,498,0
1781148267551,282,2048,0,499,0
1781148272556,286,2048,0,500,0
1781148277560,263,2048,0,501,0
1781148282572,266,2048,0,502,0
1781148287588,280,2048,0,503,0
1781148292599,281,2048,0,504,0
1781148297613,307,2048,0,505,0
